country,type,y,a,I,SN,A,PBC,O
Canada,3,-0.9947349,-0.9947,1,0.222110842,0.124448102,0.23552251,0.236403543
Canada,3,-0.9947349,-0.9947,1,0.210622226,0.118077426,0.209774427,0.229440345
Canada,3,-0.9947349,-0.9947,1,0.213659534,0.119221249,0.222019679,0.213292898
Canada,3,-0.9947349,-0.9947,1,0.218306198,0.119867423,0.222768657,0.220997423
Canada,3,-0.9947349,-0.9947,1,0.211245352,0.113996823,0.223976002,0.214208833
Canada,3,-0.9947349,-0.9947,1,0.220380514,0.118595553,0.215187031,0.221003592
Canada,3,-0.9947349,-0.9947,1,0.223194229,0.116225568,0.222583207,0.226259888
Canada,3,-0.9947349,-0.9947,1,0.194905622,0.118466864,0.220701546,0.224833791
Canada,3,-0.9947349,-0.9947,1,0.196776761,0.113267543,0.220840792,0.223123874
United Kingdom,3,0,-0.9947,0,0.237489448,0.114310457,0.200145396,0.208456547
United Kingdom,3,0,-0.9947,0,0.250388166,0.119810368,0.239027792,0.218428681
United Kingdom,3,0,-0.9947,0,0.275695382,0.136794758,0.245444006,0.236218511
United Kingdom,3,0,-0.9947,0,0.222266072,0.108647672,0.224613057,0.227776925
United Kingdom,3,0,-0.9947,0,0.232122381,0.130558844,0.219440399,0.238432964
United Kingdom,3,0,-0.9947,0,0.235075961,0.141049333,0.224279561,0.240347891
United Kingdom,3,0,-0.9947,0,0.247622859,0.131430713,0.224775663,0.239120469
United Kingdom,3,0,-0.9947,0,0.231639897,0.128361115,0.222929614,0.234895881
United Kingdom,3,0,-0.9947,0,0.24486054,0.134814989,0.230962609,0.242499366
United Kingdom,3,-0.9947349,-0.9947,1,0.234922275,0.127654348,0.226819845,0.233115538
United Kingdom,3,-0.9947349,-0.9947,1,0.219148075,0.126294664,0.223398396,0.241535475
United Kingdom,3,-0.9947349,-0.9947,1,0.225446505,0.142975001,0.224389099,0.248788313
United Kingdom,3,-0.9947349,-0.9947,1,0.25109682,0.141214608,0.226512858,0.238566626
United Kingdom,3,-0.9947349,-0.9947,1,0.231927554,0.137284239,0.229997967,0.250540812
United Kingdom,3,-0.9947349,-0.9947,1,0.222234453,0.132917824,0.229194616,0.230315762
United Kingdom,3,-0.9947349,-0.9947,1,0.232734366,0.13239335,0.231524087,0.241831497
United Kingdom,3,-0.9947349,-0.9947,1,0.228956996,0.126051496,0.220463922,0.216079982
United Kingdom,3,-0.9947349,-0.9947,1,0.227161343,0.132818043,0.226547125,0.229564602
United Kingdom,3,-0.9947349,-0.9947,1,0.224827401,0.123168541,0.234696006,0.234014986
United Kingdom,3,-0.9947349,-0.9947,1,0.222952833,0.119869405,0.213099544,0.213956785
